,filename,blocks,lines
131,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00021.xml,72,187
132,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00022.xml,27,157
133,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00023.xml,8,155
134,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00024.xml,69,170
135,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00001.xml,8,81
136,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00002.xml,4,130
137,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00003.xml,4,120
138,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00004.xml,5,137
139,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00005.xml,9,133
140,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00006.xml,25,99
141,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00007.xml,13,54
142,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00008.xml,15,50
143,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00009.xml,7,22
144,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00010.xml,9,33
145,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00011.xml,6,53
146,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00012.xml,8,68
147,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00013.xml,6,56
148,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00014.xml,11,131
149,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00015.xml,6,145
150,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00016.xml,7,149
151,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00017.xml,8,208
152,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00018.xml,7,229
153,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00019.xml,21,98
154,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251223-00020.xml,18,169
155,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00001.xml,8,116
156,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00002.xml,5,141
157,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00003.xml,7,146
158,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00004.xml,5,156
159,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00005.xml,8,115
160,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00006.xml,5,128
161,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00007.xml,7,147
162,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00008.xml,5,157
163,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00009.xml,4,118
164,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00010.xml,4,144
165,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00011.xml,16,117
166,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00012.xml,16,98
167,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00013.xml,5,96
168,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00014.xml,14,127
169,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00015.xml,11,108
170,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00016.xml,10,33
171,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251224-00017.xml,6,23
